algoritmo,np,workers,N,nH,rep,tiempo_us
FxC,2,1,512,1,1,718636
FxC,2,1,512,1,2,706398
FxC,2,1,512,1,3,712826
FxC,2,1,512,1,4,747824
FxC,2,1,512,1,5,742283
FxC,2,1,512,1,6,739934
FxC,2,1,512,1,7,741358
FxC,2,1,512,1,8,719457
FxC,2,1,512,1,9,747237
FxC,2,1,512,1,10,743676
FxC,2,1,512,1,11,706916
FxC,2,1,512,1,12,710828
FxC,2,1,512,1,13,740370
FxC,2,1,512,1,14,726346
FxC,2,1,512,1,15,709819
FxC,2,1,512,1,16,741347
FxC,2,1,512,1,17,709204
FxC,2,1,512,1,18,760004
FxC,2,1,512,1,19,741246
FxC,2,1,512,1,20,738653
FxC,2,1,512,1,21,755235
FxC,2,1,512,1,22,701078
FxC,2,1,512,1,23,755614
FxC,2,1,512,1,24,734069
FxC,2,1,512,1,25,737690
FxC,2,1,512,1,26,748769
FxC,2,1,512,1,27,738925
FxC,2,1,512,1,28,726946
FxC,2,1,512,1,29,736335
FxC,2,1,512,1,30,734794
FxC,2,1,512,2,1,716877
FxC,2,1,512,2,2,714746
FxC,2,1,512,2,3,741020
FxC,2,1,512,2,4,731783
FxC,2,1,512,2,5,716761
FxC,2,1,512,2,6,736356
FxC,2,1,512,2,7,711958
FxC,2,1,512,2,8,741140
FxC,2,1,512,2,9,740509
FxC,2,1,512,2,10,737278
FxC,2,1,512,2,11,731422
FxC,2,1,512,2,12,718897
FxC,2,1,512,2,13,693215
FxC,2,1,512,2,14,716289
FxC,2,1,512,2,15,706720
FxC,2,1,512,2,16,738656
FxC,2,1,512,2,17,707759
FxC,2,1,512,2,18,734892
FxC,2,1,512,2,19,737090
FxC,2,1,512,2,20,733449
FxC,2,1,512,2,21,745228
FxC,2,1,512,2,22,744095
FxC,2,1,512,2,23,727527
FxC,2,1,512,2,24,728957
FxC,2,1,512,2,25,741219
FxC,2,1,512,2,26,703844
FxC,2,1,512,2,27,722548
FxC,2,1,512,2,28,739544
FxC,2,1,512,2,29,703051
FxC,2,1,512,2,30,705169
FxC,2,1,512,4,1,750816
FxC,2,1,512,4,2,709775
FxC,2,1,512,4,3,737061
FxC,2,1,512,4,4,697634
FxC,2,1,512,4,5,730946
FxC,2,1,512,4,6,773726
FxC,2,1,512,4,7,749807
FxC,2,1,512,4,8,706392
FxC,2,1,512,4,9,781360
FxC,2,1,512,4,10,721314
FxC,2,1,512,4,11,733394
FxC,2,1,512,4,12,713631
FxC,2,1,512,4,13,709441
FxC,2,1,512,4,14,754133
FxC,2,1,512,4,15,727647
FxC,2,1,512,4,16,711358
FxC,2,1,512,4,17,745981
FxC,2,1,512,4,18,746400
FxC,2,1,512,4,19,711993
FxC,2,1,512,4,20,713262
FxC,2,1,512,4,21,738323
FxC,2,1,512,4,22,739217
FxC,2,1,512,4,23,728272
FxC,2,1,512,4,24,750654
FxC,2,1,512,4,25,702290
FxC,2,1,512,4,26,753416
FxC,2,1,512,4,27,751176
FxC,2,1,512,4,28,719904
FxC,2,1,512,4,29,743312
FxC,2,1,512,4,30,752049
FxC,2,1,1024,1,1,6048504
FxC,2,1,1024,1,2,6138140
FxC,2,1,1024,1,3,6757397
FxC,2,1,1024,1,4,6107386
FxC,2,1,1024,1,5,6228881
FxC,2,1,1024,1,6,6014687
FxC,2,1,1024,1,7,5846005
FxC,2,1,1024,1,8,6210088
FxC,2,1,1024,1,9,5971737
FxC,2,1,1024,1,10,6267342
FxC,2,1,1024,1,11,6263165
FxC,2,1,1024,1,12,5976985
FxC,2,1,1024,1,13,6179908
FxC,2,1,1024,1,14,6179485
FxC,2,1,1024,1,15,6279502
FxC,2,1,1024,1,16,5937723
FxC,2,1,1024,1,17,6169238
FxC,2,1,1024,1,18,6120864
FxC,2,1,1024,1,19,5994512
FxC,2,1,1024,1,20,6181365
FxC,2,1,1024,1,21,6251228
FxC,2,1,1024,1,22,5977313
