algoritmo,np,workers,N,nH,rep,tiempo_us
FxT,2,1,512,1,1,395339
FxT,2,1,512,1,2,390332
FxT,2,1,512,1,3,391454
FxT,2,1,512,1,4,396651
FxT,2,1,512,1,5,396753
FxT,2,1,512,1,6,395520
FxT,2,1,512,1,7,390717
FxT,2,1,512,1,8,393620
FxT,2,1,512,1,9,389200
FxT,2,1,512,1,10,389168
FxT,2,1,512,1,11,388505
FxT,2,1,512,1,12,395149
FxT,2,1,512,1,13,392804
FxT,2,1,512,1,14,393618
FxT,2,1,512,1,15,391055
FxT,2,1,512,1,16,390220
FxT,2,1,512,1,17,387891
FxT,2,1,512,1,18,391540
FxT,2,1,512,1,19,390363
FxT,2,1,512,1,20,388327
FxT,2,1,512,1,21,392848
FxT,2,1,512,1,22,392633
FxT,2,1,512,1,23,393098
FxT,2,1,512,1,24,398609
FxT,2,1,512,1,25,409498
FxT,2,1,512,1,26,393213
FxT,2,1,512,1,27,393586
FxT,2,1,512,1,28,390999
FxT,2,1,512,1,29,396561
FxT,2,1,512,1,30,391960
FxT,2,1,512,2,1,393696
FxT,2,1,512,2,2,390827
FxT,2,1,512,2,3,391813
FxT,2,1,512,2,4,392230
FxT,2,1,512,2,5,393205
FxT,2,1,512,2,6,389707
FxT,2,1,512,2,7,393151
FxT,2,1,512,2,8,392034
FxT,2,1,512,2,9,388559
FxT,2,1,512,2,10,391912
FxT,2,1,512,2,11,392776
FxT,2,1,512,2,12,391641
FxT,2,1,512,2,13,396164
FxT,2,1,512,2,14,390260
FxT,2,1,512,2,15,398206
FxT,2,1,512,2,16,390710
FxT,2,1,512,2,17,392473
FxT,2,1,512,2,18,408822
FxT,2,1,512,2,19,392376
FxT,2,1,512,2,20,389909
FxT,2,1,512,2,21,388057
FxT,2,1,512,2,22,386565
FxT,2,1,512,2,23,395488
FxT,2,1,512,2,24,389836
FxT,2,1,512,2,25,391456
FxT,2,1,512,2,26,390907
FxT,2,1,512,2,27,398600
FxT,2,1,512,2,28,398760
FxT,2,1,512,2,29,394916
FxT,2,1,512,2,30,393741
FxT,2,1,512,4,1,392055
FxT,2,1,512,4,2,392406
FxT,2,1,512,4,3,391407
FxT,2,1,512,4,4,403412
FxT,2,1,512,4,5,391545
FxT,2,1,512,4,6,400915
FxT,2,1,512,4,7,409915
FxT,2,1,512,4,8,394959
FxT,2,1,512,4,9,394124
FxT,2,1,512,4,10,394443
FxT,2,1,512,4,11,390546
FxT,2,1,512,4,12,392453
FxT,2,1,512,4,13,389506
FxT,2,1,512,4,14,401616
FxT,2,1,512,4,15,388924
FxT,2,1,512,4,16,390138
FxT,2,1,512,4,17,405107
FxT,2,1,512,4,18,390017
FxT,2,1,512,4,19,391418
FxT,2,1,512,4,20,394784
FxT,2,1,512,4,21,393123
FxT,2,1,512,4,22,403992
FxT,2,1,512,4,23,401236
FxT,2,1,512,4,24,392508
FxT,2,1,512,4,25,391907
FxT,2,1,512,4,26,405291
FxT,2,1,512,4,27,395673
FxT,2,1,512,4,28,391481
FxT,2,1,512,4,29,400864
FxT,2,1,512,4,30,390589
FxT,2,1,1024,1,1,3086394
FxT,2,1,1024,1,2,3099192
FxT,2,1,1024,1,3,3089837
FxT,2,1,1024,1,4,3196798
FxT,2,1,1024,1,5,3157719
FxT,2,1,1024,1,6,3118448
FxT,2,1,1024,1,7,3091020
FxT,2,1,1024,1,8,3100996
FxT,2,1,1024,1,9,3123507
FxT,2,1,1024,1,10,3090888
FxT,2,1,1024,1,11,3078283
FxT,2,1,1024,1,12,3073283
FxT,2,1,1024,1,13,3079271
FxT,2,1,1024,1,14,3089862
FxT,2,1,1024,1,15,3106614
FxT,2,1,1024,1,16,3082017
FxT,2,1,1024,1,17,3082362
FxT,2,1,1024,1,18,3132494
FxT,2,1,1024,1,19,3097073
FxT,2,1,1024,1,20,3167593
FxT,2,1,1024,1,21,3176631
FxT,2,1,1024,1,22,3183832
FxT,2,1,1024,1,23,3194706
FxT,2,1,1024,1,24,3180973
FxT,2,1,1024,1,25,3140200
FxT,2,1,1024,1,26,3122809
FxT,2,1,1024,1,27,3136137
FxT,2,1,1024,1,28,3136152
FxT,2,1,1024,1,29,3142683
FxT,2,1,1024,1,30,3178219
FxT,2,1,1024,2,1,3211843
FxT,2,1,1024,2,2,3167983
FxT,2,1,1024,2,3,3153925
FxT,2,1,1024,2,4,3107406
FxT,2,1,1024,2,5,3093435
FxT,2,1,1024,2,6,3077789
FxT,2,1,1024,2,7,3072456
FxT,2,1,1024,2,8,3079946
FxT,2,1,1024,2,9,3096632
FxT,2,1,1024,2,10,3079597
FxT,2,1,1024,2,11,3090540
FxT,2,1,1024,2,12,3054205
FxT,2,1,1024,2,13,3092534
FxT,2,1,1024,2,14,3088907
FxT,2,1,1024,2,15,3064964
FxT,2,1,1024,2,16,3072160
FxT,2,1,1024,2,17,3080098
FxT,2,1,1024,2,18,3158310
FxT,2,1,1024,2,19,3083509
FxT,2,1,1024,2,20,3085893
FxT,2,1,1024,2,21,3073469
FxT,2,1,1024,2,22,3076273
FxT,2,1,1024,2,23,3076480
FxT,2,1,1024,2,24,3064986
FxT,2,1,1024,2,25,3088332
FxT,2,1,1024,2,26,3100383
FxT,2,1,1024,2,27,3151351
FxT,2,1,1024,2,28,3083992
FxT,2,1,1024,2,29,3090935
FxT,2,1,1024,2,30,3094299
FxT,2,1,1024,4,1,3088585
FxT,2,1,1024,4,2,3101835
FxT,2,1,1024,4,3,3086592
FxT,2,1,1024,4,4,3102898
FxT,2,1,1024,4,5,3114300
FxT,2,1,1024,4,6,3112518
FxT,2,1,1024,4,7,3085515
FxT,2,1,1024,4,8,3085455
FxT,2,1,1024,4,9,3087238
FxT,2,1,1024,4,10,3087795
FxT,2,1,1024,4,11,3090179
FxT,2,1,1024,4,12,3103392
FxT,2,1,1024,4,13,3092796
FxT,2,1,1024,4,14,3103722
FxT,2,1,1024,4,15,3103545
FxT,2,1,1024,4,16,3104286
FxT,2,1,1024,4,17,3082847
FxT,2,1,1024,4,18,3075131
FxT,2,1,1024,4,19,3093843
FxT,2,1,1024,4,20,3087070
FxT,2,1,1024,4,21,3075664
FxT,2,1,1024,4,22,3116464
FxT,2,1,1024,4,23,3075658
FxT,2,1,1024,4,24,3076645
FxT,2,1,1024,4,25,3109008
FxT,2,1,1024,4,26,3092134
FxT,2,1,1024,4,27,3099294
FxT,2,1,1024,4,28,3116339
FxT,2,1,1024,4,29,3089499
FxT,2,1,1024,4,30,3103270
FxT,2,1,2048,1,1,25545781
FxT,2,1,2048,1,2,25330746
FxT,2,1,2048,1,3,25348621
FxT,2,1,2048,1,4,25283958
FxT,2,1,2048,1,5,25221981
FxT,2,1,2048,1,6,25265535
FxT,2,1,2048,1,7,25278308
FxT,2,1,2048,1,8,25386393
FxT,2,1,2048,1,9,25244575
FxT,2,1,2048,1,10,25304994
FxT,2,1,2048,1,11,25362915
FxT,2,1,2048,1,12,25255955
FxT,2,1,2048,1,13,25238768
FxT,2,1,2048,1,14,25423911
FxT,2,1,2048,1,15,25352017
FxT,2,1,2048,1,16,25277757
FxT,2,1,2048,1,17,25258137
FxT,2,1,2048,1,18,25382829
FxT,2,1,2048,1,19,25392822
FxT,2,1,2048,1,20,25368826
FxT,2,1,2048,1,21,25521528
FxT,2,1,2048,1,22,25447900
FxT,2,1,2048,1,23,25875903
FxT,2,1,2048,1,24,25822352
FxT,2,1,2048,1,25,25271677
FxT,2,1,2048,1,26,25284972
FxT,2,1,2048,1,27,25342540
FxT,2,1,2048,1,28,25357076
FxT,2,1,2048,1,29,25265258
FxT,2,1,2048,1,30,25287871
FxT,2,1,2048,2,1,25331854
FxT,2,1,2048,2,2,25346798
FxT,2,1,2048,2,3,25348049
FxT,2,1,2048,2,4,25365364
FxT,2,1,2048,2,5,25493307
FxT,2,1,2048,2,6,25321279
FxT,2,1,2048,2,7,25295080
FxT,2,1,2048,2,8,25326053
FxT,2,1,2048,2,9,25268227
FxT,2,1,2048,2,10,25533249
FxT,2,1,2048,2,11,25701149
FxT,2,1,2048,2,12,25569514
FxT,2,1,2048,2,13,25329296
FxT,2,1,2048,2,14,25357253
FxT,2,1,2048,2,15,25458034
FxT,2,1,2048,2,16,25453433
FxT,2,1,2048,2,17,25454954
FxT,2,1,2048,2,18,25660957
FxT,2,1,2048,2,19,25413360
FxT,2,1,2048,2,20,25451828
FxT,2,1,2048,2,21,25607889
FxT,2,1,2048,2,22,25489546
FxT,2,1,2048,2,23,25660257
FxT,2,1,2048,2,24,25391165
FxT,2,1,2048,2,25,25461816
FxT,2,1,2048,2,26,25369484
FxT,2,1,2048,2,27,25522601
FxT,2,1,2048,2,28,25412105
FxT,2,1,2048,2,29,25357432
FxT,2,1,2048,2,30,25349785
FxT,2,1,2048,4,1,25049171
FxT,2,1,2048,4,2,25111903
FxT,2,1,2048,4,3,25023621
FxT,2,1,2048,4,4,25055468
FxT,2,1,2048,4,5,25011601
FxT,2,1,2048,4,6,25072096
FxT,2,1,2048,4,7,25029098
FxT,2,1,2048,4,8,25003105
FxT,2,1,2048,4,9,25152050
FxT,2,1,2048,4,10,24995572
FxT,2,1,2048,4,11,24995254
FxT,2,1,2048,4,12,24979852
FxT,2,1,2048,4,13,24975868
FxT,2,1,2048,4,14,25010640
FxT,2,1,2048,4,15,24986292
FxT,2,1,2048,4,16,25117918
FxT,2,1,2048,4,17,25038530
FxT,2,1,2048,4,18,25063616
FxT,2,1,2048,4,19,25048220
FxT,2,1,2048,4,20,25040796
FxT,2,1,2048,4,21,25002035
FxT,2,1,2048,4,22,25131318
FxT,2,1,2048,4,23,25149723
FxT,2,1,2048,4,24,25048015
FxT,2,1,2048,4,25,25115697
FxT,2,1,2048,4,26,25000883
FxT,2,1,2048,4,27,25018807
FxT,2,1,2048,4,28,25074332
FxT,2,1,2048,4,29,25107863
FxT,2,1,2048,4,30,25103937
FxT,4,3,768,1,1,457640
FxT,4,3,768,1,2,457254
FxT,4,3,768,1,3,459855
FxT,4,3,768,1,4,520485
FxT,4,3,768,1,5,464484
FxT,4,3,768,1,6,456819
